Category,Metric,Value
FRAME,Total_Frames,7671
FRAME,Raw_Hit_Frames,879
FRAME,Headers,3396
FRAME,Trailers,3396
FRAME,Fillers,0
FRAME,Fake_Trailers_Blocked,0
FRAME,Unknown_Frames,0
EXCLUDE,WP_Boundary_Cuts,0
EXCLUDE,Weird_WP_Boundary_Cuts,0
EXCLUDE,Words_Dropped_At_Start,0
EXCLUDE,Events_Missing_Header,0
EXCLUDE,Orphan_Data_Words,0
EVENT,Total_Complete_Events,3396
EVENT,Events_Perfect_Hits,3396
EVENT,Events_Corrupted_BCID,0
EVENT,Events_Hit_Mismatch,0
EVENT,Events_Discarded_By_Jump,0
EVENT,L1_Counter_Jumps,0
EVENT,L1_Jump_Avg,0
EVENT,CRC_Match,3396
EVENT,CRC_Mismatch,0
HIT,Expected_Total_Hits,879
HIT,Valid_Hits,879
HIT,Lost_Hits,0
HIT,Avg_TOA_ns,6.12002
HIT,RMS_TOA_ns,3.61045
HIT,Avg_TOT_ns,3.03222
HIT,RMS_TOT_ns,1.44105
HIT,Avg_CAL_Code,186.443
HIT,RMS_CAL_Code,97.6237
HIT,EA_00_Clean,879
HIT,EA_01_Corrected,0
HIT,EA_10_Uncorrectable,0
HIT,EA_11_Undefined,0
SYSTEM,RAM_Buffer_Empty_Ratio,0
